epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,654.498,0.72619,0.75993,0.90114,0.94985,0.97135,0.95911,0.77312,0.6289,0.56988,0.83194,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225
31,678.439,0.73076,0.73204,0.89443,0.92655,0.97436,0.97581,0.80644,0.65053,0.58218,0.82501,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
32,698.819,0.69586,0.72242,0.86563,0.92674,0.97308,0.96268,0.80237,0.61163,0.56321,0.82409,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275
33,720.415,0.69937,0.68191,0.87936,0.92654,0.9703,0.96138,0.77636,0.65894,0.59837,0.8332,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
34,741.596,0.67193,0.69835,0.88406,0.92669,0.9724,0.96967,0.81054,0.61963,0.57297,0.82912,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325
35,764.981,0.73121,0.73104,0.903,0.92656,0.97055,0.98283,0.81162,0.66158,0.55236,0.83649,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
36,785.005,0.74195,0.73308,0.89841,0.94962,0.9667,0.98037,0.77943,0.72594,0.61445,0.84639,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375
37,806.362,0.68606,0.70649,0.87905,0.93654,0.92308,0.97784,0.77782,0.73025,0.68217,0.84421,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
38,826.555,0.68457,0.67055,0.89027,0.92032,0.97436,0.9793,0.80478,0.6781,0.6248,0.83082,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425
39,848.761,0.66857,0.66235,0.88935,0.94825,0.93985,0.97301,0.77067,0.69103,0.60896,0.84946,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
40,868.544,0.69924,0.66453,0.87726,0.92625,0.96619,0.96736,0.77512,0.72215,0.59772,0.84835,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475
41,891.002,0.65535,0.62919,0.88064,0.92429,0.93928,0.96239,0.74797,0.76778,0.61997,0.86066,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
42,911.295,0.67346,0.62734,0.87015,0.94718,0.91961,0.97023,0.7634,0.72439,0.57162,0.83881,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525
43,933.35,0.6854,0.63261,0.86887,0.94732,0.92216,0.96081,0.75096,0.71733,0.60147,0.83739,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
44,955.958,0.64986,0.6085,0.87471,0.94705,0.91738,0.94665,0.76893,0.70915,0.61557,0.85414,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575
45,978.564,0.67718,0.63718,0.88597,0.91979,0.94872,0.97086,0.76782,0.74916,0.59771,0.8573,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
46,998.985,0.64076,0.6019,0.86212,0.92632,0.96724,0.97344,0.78975,0.6784,0.5552,0.84652,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625
47,1022.47,0.6137,0.59465,0.86539,0.94447,0.92308,0.97395,0.80854,0.70562,0.53269,0.83494,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
